   , 6274
 de, 5924
e  , 5540
es , 5000

  , 4644


 , 4578



, 4539
it , 4254
ait, 4143
de , 3876
le , 3797
s  , 3569
 le, 3502
ent, 3467
nt , 3345
t  , 3332
 qu, 2994
  d, 2981
lle, 2693
ne , 2653
e, , 2577
,  , 2522
ant, 2461
 et, 2456
et , 2455
 la, 2347
  l, 2330
 pa, 2261
 un, 2235
la , 2190
our, 2106
 se, 2085
que, 2084
re , 2076
 co, 2051
s, , 1932
e d, 1913
ais, 1902
les, 1900
is , 1900
  s, 1847
il , 1847
on , 1830
ur , 1784
  p, 1772
.

, 1763
 « , 1727
 so, 1715
 en, 1693
er , 1689
ous, 1664
ns , 1641
us , 1641
ien, 1636
 à , 1628
e s, 1625
  c, 1584
une, 1551
en , 1543
 po, 1535
un , 1532
e l, 1477
 il, 1475
  e, 1465
mme, 1460
n  , 1459
te , 1445
ue , 1433
me , 1421
 re, 1418
tre, 1401
 »
, 1392
»

, 1382
t d, 1379
  «, 1379
t, , 1372
eur, 1355
ui , 1345
 Il, 1338
 vo, 1335
se , 1332
s d, 1332
par, 1325
r  , 1324
res, 1308
des, 1306
 ma, 1284
 l', 1282
ell, 1273
tou, 1270
 to, 1267
e p, 1264
 sa, 1259
 d', 1245
  a, 1230
Il , 1229
 ce, 1225
ans, 1217
 av, 1213
omm, 1188
men, 1182
tai, 1175
est, 1173
. », 1171
 mo, 1152
rai, 1132
 :
, 1131
 ch, 1128
out, 1110
che, 1104
e c, 1092
dan, 1091
:

, 1074
 au, 1050
ut , 1043
pou, 1037
a  , 1036
vai, 1033
t l, 1030
son, 1025
com, 1010
s l, 1004
 su, 988
 pe, 986
 pr, 982
qui, 981
qu', 971
ce , 962
, e, 960
  m, 959
pas, 958
eux, 957
nte, 945
mai, 939
vou, 931
ren, 910
  I, 902
 ne, 897
ux , 895
.  , 892
end, 891
 fa, 890
ire, 864
con, 860
ave, 857
  q, 856
  t, 855
 tr, 854
 da, 854
ill, 845
 lu, 839
t p, 837
e m, 829
lui, 827
eme, 822
 je, 813
uis, 809
ain, 808
ouv, 800
  f, 796
ran, 795
ons, 793
ava, 790
t s, 788
e. , 780
  E, 774
es,, 772
and, 768
lai, 766
e t, 760
l  , 759
s p, 755
sse, 751
éta, 750
ion, 748
e e, 746
e v, 746
cha, 745
as , 744
r, , 739
 s', 737
ort, 732
ont, 728
 di, 727
ir , 724
sai, 723
tte, 716
aie, 714
e f, 711
ure, 708
e r, 704
ère, 704
rs , 704
onn, 700
ten, 699
  v, 694
s s, 691
sur, 682
  r, 679
r l, 678
ter, 673
Ell, 672
 pl, 667
 du, 661
int, 660
fai, 659
, d, 651
i  , 645
 El, 644
ier, 641
sa , 639
'un, 635
cou, 635
ser, 626
ond, 625
jou, 624
du , 623
ett, 621
tes, 620
s c, 619
vec, 618
san, 616
  u, 615
 vi, 615
iss, 612
air, 611
s e, 610
'es, 610
ses, 608
s a, 607
u  , 607
au , 605
je , 601
voi, 601
 no, 601
ssa, 599
 dé, 599
..., 597
e.
, 596
urs, 595
ass, 593
 do, 591
t e, 590
ec , 589
l'a, 589
ver, 588
sou, 587
mon, 584
aut, 584
n, , 580
 el, 580
st , 576
dit, 571
  i, 568
tro, 567
ieu, 563
