,language:,French,,,,,,,,,,,,,,,,,,,,,,,
,corpus:,French Web 2012,,,,,,,,,,,,,,,,,,,,,,,
,word form,frequence,,,,,,,,,,,,,,,,,,,,,,,
1,est,1495122,1,,,,,,,,,,,,,,,,,,,,,,
2,ai,1039767,0,695439569,,,,,,,,,,,,,,,,,,,,,,
3,fai,309755,0,207177073,,,,,,,,,,,,,,,,,,,,,,
4,peu,258439,0,17285479,,,,,,,,,,,,,,,,,,,,,,
5,va,123704,0,082738399,,,,,,,,,,,,,,,,,,,,,,
6,doi,112301,0,075111596,,,,,,,,,,,,,,,,,,,,,,
7,di,109837,0,07346357,,,,,,,,,,,,,,,,,,,,,,
8,voi,96019,0,064221515,,,,,,,,,,,,,,,,,,,,,,
9,pren,80417,0,053786246,,,,,,,,,,,,,,,,,,,,,,
10,sai,74068,0,04953977,,,,,,,,,,,,,,,,,,,,,,
11,met,73694,0,049289623,,,,,,,,,,,,,,,,,,,,,,
12,veu,69787,0,046676459,,,,,,,,,,,,,,,,,,,,,,
13,trouv,64184,0,042928938,,,,,,,,,,,,,,,,,,,,,,
14,donn,56499,0,037788889,,,,,,,,,,,,,,,,,,,,,,
15,ven,56214,0,03759827,,,,,,,,,,,,,,,,,,,,,,
16,pass,56037,0,037479885,,,,,,,,,,,,,,,,,,,,,,
17,fall,54016,0,036128155,,,,,,,,,,,,,,,,,,,,,,
18,permett,53302,0,035650602,,,,,,,,,,,,,,,,,,,,,,
19,utilis,46318,0,030979412,,,,,,,,,,,,,,,,,,,,,,
20,pens,39658,0,026524926,,,,,,,,,,,,,,,,,,,,,,
21,compren,38010,0,025422675,,,,,,,,,,,,,,,,,,,,,,
22,rest,37791,0,025276198,,,,,,,,,,,,,,,,,,,,,,
23,connai,37008,0,024752495,,,,,,,,,,,,,,,,,,,,,,
24,part,36895,0,024676916,,,,,,,,,,,,,,,,,,,,,,
25,jou,36179,0,024198025,,,,,,,,,,,,,,,,,,,,,,
26,aim,33880,0,022660358,,,,,,,,,,,,,,,,,,,,,,
27,demand,33811,0,022614208,,,,,,,,,,,,,,,,,,,,,,
28,parl,33720,0,022553343,,,,,,,,,,,,,,,,,,,,,,
29,arriv,32426,0,021687862,,,,,,,,,,,,,,,,,,,,,,
30,dev,32164,0,021512626,,,,,,,,,,,,,,,,,,,,,,
31,laiss,31641,0,021162821,,,,,,,,,,,,,,,,,,,,,,
32,rend,31440,0,021028384,,,,,,,,,,,,,,,,,,,,,,
33,commenc,30620,0,020479934,,,,,,,,,,,,,,,,,,,,,,
34,offr,27905,0,018664029,,,,,,,,,,,,,,,,,,,,,,
35,ten,26858,0,017963751,,,,,,,,,,,,,,,,,,,,,,
36,propos,26413,0,017666117,,,,,,,,,,,,,,,,,,,,,,
37,attend,26153,0,017492218,,,,,,,,,,,,,,,,,,,,,,
38,croi,25677,0,017173849,,,,,,,,,,,,,,,,,,,,,,
39,suiv,25509,0,017061484,,,,,,,,,,,,,,,,,,,,,,
40,sembl,25135,0,016811337,,,,,,,,,,,,,,,,,,,,,,
41,obt,24780,0,016573898,,,,,,,,,,,,,,,,,,,,,,
42,viv,24727,0,01653845,,,,,,,,,,,,,,,,,,,,,,
43,cré,24434,0,016342479,,,,,,,,,,,,,,,,,,,,,,
44,agi,23411,0,015658254,,,,,,,,,,,,,,,,,,,,,,
45,présent,22766,0,015226851,,,,,,,,,,,,,,,,,,,,,,
46,sort,22585,0,015105791,,,,,,,,,,,,,,,,,,,,,,
